Borough,Primary Property Type - Self Selected,Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),score,TaxBlock,TaxLotNum
1.0,1.0,2000.0,1.0,100.0,1.0,107.1,16.2,0.5,227.7,107351.6,3342436.0,1608.7,206801.0,3.0,16.0,205.0
1.0,1.0,1988.0,1.0,100.0,1.0,101.5,12.6,0.6,196.7,131535.9,2846359.5,1573.8,225262.0,9.0,16.0,7509.0
1.0,1.0,1988.0,1.0,100.0,1.0,113.3,11.4,0.7,200.1,111458.7,1702130.2,1099.1,149637.0,17.0,16.0,7511.0
1.0,6.0,2001.0,1.0,95.0,1.0,53.4,13.9,0.1,154.9,30731.0,7071215.3,2406.9,509831.0,54.0,16.0,7513.0
1.0,1.0,2006.0,1.0,100.0,1.0,79.9,8.9,0.5,147.3,225830.0,4062748.1,2441.6,456414.0,8.0,16.0,7514.0
1.0,1.0,2008.0,1.0,100.0,1.0,121.5,6.6,1.0,174.8,452532.3,3032236.0,3326.3,457771.0,25.0,16.0,7517.0
1.0,1.0,2008.0,1.0,100.0,1.0,72.0,13.7,0.3,173.5,112391.2,6125327.4,2508.5,446186.0,3.0,16.0,7520.0
1.0,1.0,2000.0,1.0,100.0,1.0,59.5,6.1,0.4,106.1,128640.6,2031891.8,1295.7,332500.0,80.0,16.0,7521.0
1.0,2.0,1929.0,1.0,100.0,1.0,75.4,10.4,0.5,159.5,44947.2,3132591.3,1718.3,300954.0,87.0,20.0,1.0
1.0,2.0,1928.0,1.0,100.0,1.0,86.7,15.2,0.0,205.0,3250.8,6821471.9,3128.4,447442.0,70.0,20.0,4.0
1.0,2.0,1983.0,1.0,100.0,1.0,83.9,17.9,0.0,219.3,6970.5,6610151.2,2586.5,368305.0,65.0,20.0,9.0
1.0,2.0,2013.0,1.0,100.0,1.0,74.0,16.4,0.0,197.3,4004.7,5961027.1,2275.5,363378.0,80.0,20.0,16.0
1.0,2.0,1916.0,1.0,95.0,1.0,50.2,11.6,0.5,136.9,44947.2,9117139.9,3400.8,786975.0,93.0,21.0,1.0
1.0,2.0,1900.0,1.0,100.0,1.0,61.9,12.1,0.0,150.8,7511.9,2799108.8,1190.2,230740.0,86.0,511.0,12.0
1.0,1.0,1898.0,1.0,100.0,1.0,82.4,8.3,0.1,127.9,34966.9,2624383.2,1411.2,317135.0,54.0,21.0,6.0
1.0,2.0,1900.0,1.0,100.0,1.0,97.9,17.1,0.1,224.0,17817.2,2451718.2,1169.7,142990.0,58.0,22.0,17.0
1.0,2.0,1904.0,1.0,100.0,1.0,91.6,18.9,0.5,229.6,44947.2,7355154.5,3143.4,389917.0,59.0,22.0,20.0
1.0,2.0,1927.0,1.0,100.0,1.0,54.5,9.6,0.5,129.1,44947.2,3299897.2,1476.3,343345.0,88.0,22.0,24.0
1.0,2.0,1956.0,1.0,100.0,1.0,40.5,4.6,0.5,79.2,44947.2,2148012.2,1400.6,466820.0,99.0,23.0,50.0
1.0,0.0,1913.0,1.0,100.0,1.0,47.3,8.2,0.5,110.8,44947.2,2270475.9,1043.9,278183.0,92.0,24.0,36.0
1.0,2.0,1967.0,1.0,80.0,1.0,94.0,15.9,0.5,218.0,44947.2,6511999.9,3082.3,410295.0,73.0,25.0,1.0
1.0,2.0,1902.0,1.0,100.0,1.0,77.4,13.7,0.0,177.5,3239.1,3236144.0,1559.5,237000.0,73.0,25.0,27.0
1.0,1.0,2005.0,1.0,100.0,1.0,113.4,14.2,0.2,227.0,71367.1,4622511.4,2724.7,325062.0,1.0,25.0,7501.0
